gene_id	GRCP	GLCP	IS_POSITIVE
ENSG00000280338	0.02913	0.02945	0
ENSG00000081853	0.06402	0.09148	0
ENSG00000135074	0.04307	0.04318	0
ENSG00000261604	0.03395	0.03397	0
ENSG00000248240	0.1627	0.2716	0
ENSG00000253251	0.0008579	0.001003	0
ENSG00000272040	0.0319	0.03191	0
ENSG00000183072	0.01642	0.02238	0
ENSG00000049883	0.2677	0.3149	1
ENSG00000246763	0.05608	0.05608	0
ENSG00000226306	0.1039	0.1039	0
ENSG00000215158	0.07325	0.07476	1
ENSG00000164211	0.4561	0.5137	0
ENSG00000170089	0.0006502	0.0006517	0
ENSG00000161011	0.01559	0.01559	0
ENSG00000270133	0.01159	0.01624	0
ENSG00000112851	0.06215	0.06236	0
ENSG00000215068	0.08301	0.08452	0
ENSG00000272234	0.04091	0.04692	0
ENSG00000244945	0.07068	0.08457	0
ENSG00000206077	0.002391	0.002391	0
ENSG00000204767	0.2101	0.2906	0
ENSG00000155545	0.9264	0.9313	1
ENSG00000164331	0.07257	0.07947	0
ENSG00000131711	0.03693	0.04178	0
ENSG00000164181	0.039	0.05344	0
ENSG00000197043	0.0887	0.09074	0
ENSG00000153395	0.0004175	0.0004176	0
ENSG00000157107	0.004426	0.004793	0
ENSG00000238035	0.8666	0.8666	1
ENSG00000181163	0.006986	0.007115	0
ENSG00000254298	0.001519	0.00162	0
ENSG00000082516	0.07918	0.08003	0
ENSG00000253439	0.02713	0.03002	0
ENSG00000047188	0.1053	0.1172	0
ENSG00000183111	0.2147	0.2147	1
ENSG00000146005	0.06702	0.08129	0
ENSG00000145494	0.04513	0.04513	0
ENSG00000051596	0.018	0.01836	0
ENSG00000094755	0.01804	0.01904	0
ENSG00000091009	0.02844	0.02844	0
ENSG00000245937	0.03621	0.04183	0
ENSG00000178996	0.2904	0.2904	1
ENSG00000248677	0.06536	0.07097	0
ENSG00000183323	0.03446	0.03472	0
ENSG00000272103	0.006495	0.00685	1
ENSG00000164326	0.01524	0.01524	1
ENSG00000066583	0.09004	0.09004	0
ENSG00000253921	0.1402	0.1402	0
ENSG00000270067	0.02064	0.0207	0
ENSG00000249353	0.06334	0.06334	0
ENSG00000124279	0.05189	0.05189	0
ENSG00000239642	0.3559	0.4004	1
ENSG00000212643	0.08532	0.08627	0
ENSG00000250579	0.02279	0.02498	0
ENSG00000134970	0.08028	0.08043	0
ENSG00000113494	0.02753	0.02856	0
ENSG00000253953	0.05221	0.05221	1
ENSG00000160867	0.04056	0.04286	1
ENSG00000230561	0.04188	0.04355	0
ENSG00000185129	0.04099	0.0433	0
ENSG00000013561	0.02779	0.03257	0
ENSG00000204677	0.06739	0.06776	1
ENSG00000112877	0.05937	0.06233	0
ENSG00000133401	0.02514	0.02529	0
ENSG00000250539	0.05868	0.05903	0
ENSG00000092421	0.1762	0.1805	0
ENSG00000248923	0.07816	0.08381	1
ENSG00000232517	0.02315	0.03166	0
ENSG00000120327	0.06066	0.06209	0
ENSG00000262096	0.04575	0.0458	0
ENSG00000247049	0.005911	0.007943	1
ENSG00000250048	0.01394	0.01435	0
ENSG00000170571	0.1244	0.1294	0
ENSG00000131446	0.1622	0.1622	0
ENSG00000251257	0.02981	0.03084	0
ENSG00000271714	0.04056	0.04082	0
ENSG00000213585	0.0004758	0.0004758	1
ENSG00000271824	0.9656	0.9765	1
ENSG00000197948	0.06047	0.06055	0
ENSG00000237693	0.0286	0.02862	0
ENSG00000170624	0.1054	0.1226	1
ENSG00000133710	0.04926	0.05284	0
ENSG00000173930	0.0615	0.06735	0
ENSG00000164237	0.2182	0.2227	0
ENSG00000272265	0.02175	0.02175	0
ENSG00000113597	0.004097	0.004289	0
ENSG00000239528	0.02716	0.03073	0
ENSG00000248569	0.2431	0.4002	0
ENSG00000145506	0.0313	0.06049	0
ENSG00000131508	0.02245	0.02262	0
ENSG00000237190	0.1001	0.1058	0
ENSG00000131844	0.0296	0.03258	0
ENSG00000248610	0.02199	0.02213	0
ENSG00000253785	0.05534	0.06185	0
ENSG00000175857	0.001165	0.001165	0
ENSG00000271334	0.05583	0.05708	0
ENSG00000280187	0.02554	0.02554	0
ENSG00000283235	0.03149	0.04498	0
ENSG00000253522	0.06535	0.06542	0
ENSG00000250678	0.0002915	0.0003133	0
ENSG00000248596	0.03022	0.03022	0
ENSG00000153044	0.04297	0.04733	0
ENSG00000247828	0.02256	0.0228	0
ENSG00000185986	0.01255	0.01255	0
ENSG00000248449	0.04845	0.0487	0
ENSG00000070614	0.03191	0.0327	0
ENSG00000120727	0.002316	0.002316	0
ENSG00000178776	0.017	0.0191	0
ENSG00000155508	0.2402	0.2548	0
ENSG00000049192	0.04107	0.04191	0
ENSG00000186687	0.1934	0.1945	1
ENSG00000270307	0.03053	0.03053	1
ENSG00000223652	0.01225	0.01259	0
ENSG00000232615	0.06254	0.06256	0
ENSG00000072571	0.02763	0.03112	0
ENSG00000249485	0.04296	0.04347	1
ENSG00000172239	0.00288	0.003029	0
ENSG00000205464	0.04718	0.04874	0
ENSG00000113387	0.05785	0.05862	0
ENSG00000279557	0.0002533	0.0006884	0
ENSG00000145545	0.00187	0.002081	0
ENSG00000070814	0.1023	0.1023	0
ENSG00000249483	0.1054	0.1054	0
ENSG00000279118	0.111	0.111	0
ENSG00000272255	0.02352	0.02352	0
ENSG00000250490	0.07916	0.08043	0
ENSG00000164591	0.05834	0.05834	0
ENSG00000283897	0.0005328	0.0005328	0
ENSG00000251000	0.9798	0.9798	1
ENSG00000145868	0.05313	0.054	0
ENSG00000225051	0.06402	0.09119	0
ENSG00000058729	0.02848	0.03132	0
ENSG00000078295	0.884	0.9515	1
ENSG00000113645	0.06068	0.06282	0
ENSG00000241112	0.08783	0.08951	0
ENSG00000164318	0.07196	0.07229	1
ENSG00000246596	0.02357	0.02357	0
ENSG00000142319	0.08749	0.08749	1
ENSG00000248367	0.09552	0.09762	1
ENSG00000254333	0.004621	0.006051	0
ENSG00000183258	0.1378	0.1414	1
ENSG00000270706	0.001471	0.001475	0
ENSG00000145632	0.0803	0.0803	0
ENSG00000250909	0.03554	0.03762	0
ENSG00000253767	0.05483	0.05508	0
ENSG00000038427	0.06061	0.06846	0
ENSG00000113391	0.03055	0.03056	0
ENSG00000171720	0.0128	0.0149	0
ENSG00000250853	0.007855	0.008165	1
